name,2021,2022
United States,23315081,25723941
New England,1221039,1321189
Connecticut,298395,323825
Maine,77963,85187
Massachusetts,641332,693131
New Hampshire,99673,106049
Rhode Island,66571,72055
Vermont,37104,40943
Delaware,81160,88147
District of Columbia,159775,163150
Maryland,443930,474424
New Jersey,682946,753042
New York,1901297,2070558
Pennsylvania,844496,931717
Illinois,945674,1041663
Indiana,412975,458796
Michigan,572206,626680
Ohio,756617,829594
Wisconsin,368611,404704
Iowa,216860,233468
Kansas,191381,212742
Minnesota,412459,450743
Missouri,358572,392935
Nebraska,146285,163886
North Dakota,74745,75169
South Dakota,67489,68327
Alabama,254110,280220
Arkansas,148676,166488
Florida,1255558,1403241
Georgia,691627,762096
Kentucky,237182,262439
Louisiana,258571,284650
Mississippi,127308,139867
NorthCarolina,662121,735924
SouthCarolina,269802,298961
Tennessee,427125,480050
Virginia,604958,654573
WestVirginia,85434,97404
Arizona,420027,463654
NewMexico,109583,123819
Oklahoma,215336,244906
Texas,2051769,2402237
Colorado,436359,489340
Idaho,96283,110781
Montana,58700,65736
Utah,225340,250412
Wyoming,41510,48336
FarWest,4665853,5050871
Alaska,57349,65130
California,3373241,3634821
Hawaii,91096,99352
Nevada,194487,218188
Oregon,272191,301689
Washington,677489,731691
